date,PM10,NO2,O3
2014-11-25,30.56,27.542916666666667,1.6417391304347826
2014-11-26,19.58,27.56458333333333,1.6995833333333332
2014-11-27,22.92,31.78833333333333,3.34125
2014-11-28,14.17,31.320000000000004,5.604166666666667
2014-11-29,11.94,28.800416666666667,2.504166666666667
2014-11-30,12.64,23.639166666666668,2.29875
2014-12-01,9.44,20.566666666666666,1.6108333333333331
2014-12-02,7.5,17.374166666666667,1.7654166666666666
2014-12-03,7.81,19.888749999999998,2.0054166666666666
2014-12-04,14.33,28.91125,2.5625
2014-12-05,18.78,30.50125,6.810833333333334
2014-12-06,6.56,25.08875,6.2754166666666675
2014-12-07,9.47,27.238333333333333,3.7433333333333336
2014-12-08,15.72,22.03375,27.88208333333333
2014-12-09,6.97,14.332916666666668,45.63625
2014-12-10,21.47,26.17458333333333,25.15416666666667
2014-12-11,10.5,22.75708333333333,44.37583333333333
2014-12-12,12.31,21.989166666666666,43.16291666666667
2014-12-13,11.47,20.303749999999997,50.25625
2014-12-14,17.17,29.44458333333333,23.852500000000003
2014-12-15,,36.406666666666666,10.808750000000002
2014-12-16,25.36,31.784166666666668,7.041666666666667
2014-12-17,10.36,25.91,24.485833333333332
2014-12-18,9.94,31.655652173913044,15.928333333333333
2014-12-19,8.83,20.987916666666667,24.85166666666667
2014-12-20,7.86,26.694782608695654,29.533749999999998
2014-12-21,11.61,24.1575,25.189999999999998
2014-12-22,18.97,33.36913043478261,11.2475
2014-12-23,23.33,44.11208333333334,12.125416666666666
2014-12-24,19.31,26.09304347826087,31.7325
2014-12-25,12.92,12.519583333333335,43.92958333333333
2014-12-26,11.11,24.23391304347826,36.48875
2014-12-27,7.64,9.846666666666666,53.54583333333333
2014-12-28,9.03,10.533478260869567,43.52666666666667
2014-12-29,21.53,20.51,40.71875
2014-12-30,12.92,14.60695652173913,44.57125
2014-12-31,11.53,10.691666666666668,58.512499999999996
2015-01-01,27.8,19.954347826086956,35.24333333333333
2015-01-02,33.89,34.402499999999996,12.534583333333332
2015-01-03,20.61,26.791739130434784,21.601249999999997
2015-01-04,5.95,15.163333333333334,40.68875
2015-01-05,15.49,30.862608695652174,18.9875
2015-01-06,21.44,41.31125,2.68875
2015-01-07,35.41,53.012173913043476,3.4129166666666664
2015-01-08,29.179999999999996,33.31375,16.953333333333333
2015-01-09,10.51,22.09695652173913,36.02291666666667
2015-01-10,6.78,14.3775,43.412083333333335
2015-01-11,5.39,9.48913043478261,61.02916666666667
2015-01-12,16.46,35.64458333333334,25.979166666666668
2015-01-13,13.97,24.741739130434784,45.49
2015-01-14,8.58,18.987083333333334,52.15291666666667
2015-01-15,11.62,16.831739130434784,49.76291666666666
2015-01-16,14.660000000000002,34.19833333333333,29.049166666666668
2015-01-17,6.5,16.55782608695652,42.905
2015-01-18,18.12,24.674583333333334,22.515416666666667
2015-01-19,23.37,36.498695652173915,15.739166666666668
2015-01-20,19.36,51.46636363636364,4.28125
2015-01-21,21.99,29.052608695652175,18.062916666666666
2015-01-22,32.5,30.580416666666665,14.532083333333333
2015-01-23,11.76,19.663478260869564,26.9075
2015-01-24,9.41,23.38,25.230416666666667
2015-01-25,6.5,9.090434782608694,60.665
2015-01-26,12.03,23.813636363636363,47.76727272727273
2015-01-27,12.589999999999998,25.95521739130435,36.482083333333335
2015-01-28,17.7,27.72583333333333,34.317083333333336
2015-01-29,4.84,14.940434782608696,56.36708333333333
2015-01-30,4.84,16.612916666666667,64.95954545454545
2015-01-31,9.13,18.570434782608697,49.400416666666665
2015-02-01,5.669999999999999,9.686666666666666,58.31375
2015-02-02,11.89,33.64260869565217,36.068333333333335
2015-02-03,16.32,27.574583333333333,34.725
2015-02-04,13.83,15.337272727272728,55.36166666666667
2015-02-05,16.18,16.968333333333334,45.812916666666666
2015-02-06,28.49,17.364347826086956,44.64875
2015-02-07,30.98,14.469166666666666,54.00208333333333
2015-02-08,20.19,10.901304347826088,66.41666666666667
2015-02-09,10.65,19.262916666666666,67.06833333333333
2015-02-10,20.47,34.75043478260869,40.86625
2015-02-11,41.36,42.567083333333336,19.35625
2015-02-12,56.57,55.64043478260869,10.863333333333335
2015-02-13,55.6,57.36333333333334,12.85
2015-02-14,15.910000000000002,23.281304347826087,42.93625
2015-02-15,19.23,20.37,34.888333333333335
2015-02-16,43.43,33.06608695652174,21.285
2015-02-17,37.62,31.99416666666667,24.050833333333333
2015-02-18,32.37,32.46739130434783,28.73125
2015-02-19,41.91,39.03958333333333,24.976250000000004
2015-02-20,26.42,26.721304347826088,51.95416666666666
2015-02-21,9.41,25.312916666666666,61.157916666666665
2015-02-22,13.69,17.655217391304348,49.63708333333333
2015-02-23,13.28,26.41625,41.02041666666667
2015-02-24,8.71,19.714347826086957,65.78916666666667
2015-02-25,13.0,24.4825,54.89291666666667
2015-02-26,33.33,39.58652173913043,30.0775
2015-02-27,14.800000000000002,26.524583333333336,44.21666666666667
2015-02-28,13.69,20.587391304347825,54.365
2015-03-01,11.339999999999998,12.735833333333334,59.0375
2015-03-02,7.05,13.866521739130436,69.88791666666667
2015-03-03,11.479999999999999,22.08083333333333,60.60041666666667
2015-03-04,5.12,12.39521739130435,74.3725
2015-03-05,5.95,8.671666666666667,74.92375
2015-03-06,11.76,18.054347826086957,62.84125
2015-03-07,18.81,28.082083333333333,39.95666666666667
2015-03-08,22.27,28.68304347826087,38.42958333333333
2015-03-09,29.88,37.402499999999996,30.40625
2015-03-10,40.8,48.55391304347826,23.9075
2015-03-11,38.87,31.732083333333335,40.22541666666667
2015-03-12,22.679999999999996,25.709130434782605,48.21125
2015-03-13,34.99,34.900416666666665,41.41375
2015-03-14,42.88,21.901739130434784,47.875416666666666
2015-03-15,49.79,16.23875,39.66583333333333
2015-03-16,62.38,38.09782608695652,30.65125
2015-03-17,53.39000000000001,52.68083333333333,27.961250000000003
2015-03-18,50.9,41.37391304347826,42.49909090909091
2015-03-19,52.01,39.339166666666664,51.92791666666667
2015-03-20,63.21,42.90260869565218,36.76708333333333
2015-03-21,67.5,29.145833333333332,31.528333333333336
2015-03-22,25.73,11.688695652173914,53.25
2015-03-23,21.44,30.655833333333334,43.855
2015-03-24,29.459999999999997,34.68260869565218,52.913333333333334
2015-03-25,11.62,22.068749999999998,44.807500000000005
2015-03-26,9.54,18.557391304347824,50.498333333333335
2015-03-27,11.479999999999999,19.263749999999998,68.22958333333334
2015-03-28,16.87,21.045217391304348,53.95708333333334
2015-03-29,8.99,7.971739130434782,61.19652173913043
2015-03-30,4.43,10.340434782608694,74.68541666666667
2015-03-31,6.31,10.739166666666668,71.92541666666666
2015-04-01,11.43,14.08869565217391,74.27416666666666
2015-04-02,8.66,15.952083333333334,57.844166666666666
2015-04-03,6.03,14.537826086956523,52.5975
2015-04-04,3.68,9.531666666666666,50.73500000000001
2015-04-05,7.97,5.924347826086956,80.31833333333334
2015-04-06,6.31,6.299166666666667,84.07125
2015-04-07,9.21,9.517826086956521,83.07458333333334
2015-04-08,14.47,22.1875,64.70333333333333
2015-04-09,22.77,31.06173913043478,62.8375
2015-04-10,20.14,23.65041666666667,86.72083333333335
2015-04-11,11.01,15.185652173913043,96.24041666666666
2015-04-12,11.839999999999998,17.800833333333333,64.6875
2015-04-13,18.76,23.89782608695652,63.451249999999995
2015-04-14,13.36,19.030833333333334,63.36958333333333
2015-04-15,23.929999999999996,25.606521739130436,73.79583333333333
2015-04-16,27.11,29.73125,62.965833333333336
2015-04-17,17.15,18.039130434782606,55.940416666666664
2015-04-18,10.79,8.025,70.42791666666666
2015-04-19,10.1,9.62,67.44458333333334
2015-04-20,12.17,14.75391304347826,69.65
2015-04-21,22.41,20.50625,80.99666666666667
2015-04-22,19.09,24.020833333333332,75.6575
2015-04-23,19.5,16.815652173913044,83.68521739130435
2015-04-24,19.92,24.574166666666667,79.19250000000001
2015-04-25,11.89,10.5725,90.74916666666667
2015-04-26,9.13,12.021739130434783,65.1025
2015-04-27,9.27,13.441249999999998,54.76083333333333
2015-04-28,7.330000000000001,10.847083333333332,58.48916666666667
2015-04-29,13.97,12.483478260869566,60.23458333333334
2015-04-30,12.449999999999998,12.832083333333332,74.05458333333333
2015-05-01,4.7,6.535,71.34291666666667
2015-05-02,4.56,9.855217391304347,65.51041666666667
2015-05-03,6.09,8.03375,44.13791666666666
2015-05-04,9.27,22.94875,44.149166666666666
2015-05-05,17.29,26.183913043478263,23.534166666666668
2015-05-06,8.44,11.700000000000001,74.78458333333333
2015-05-07,11.339999999999998,16.882916666666667,70.21375
2015-05-08,14.25,16.781304347826087,56.784166666666664
2015-05-09,7.61,8.610833333333334,67.10666666666667
2015-05-10,6.64,9.471666666666666,66.46208333333333
2015-05-11,19.36,24.297826086956523,63.382083333333334
2015-05-12,25.59,15.68,87.24458333333332
2015-05-13,25.73,14.092173913043478,107.99374999999999
2015-05-14,15.08,4.470416666666667,97.43374999999999
2015-05-15,4.84,9.895833333333334,75.03083333333333
2015-05-16,10.79,6.188260869565218,79.60000000000001
2015-05-17,7.47,6.965,69.23541666666667
2015-05-18,12.589999999999998,12.551666666666668,68.81958333333334
2015-05-19,9.27,11.413333333333334,64.17583333333333
2015-05-20,5.26,7.76625,74.45666666666666
2015-05-21,7.75,8.18875,77.96124999999999
2015-05-22,13.14,7.691739130434782,97.61708333333333
2015-05-23,16.18,7.285,106.80083333333333
2015-05-24,13.28,8.555416666666668,91.29291666666667
2015-05-25,11.199999999999998,6.785652173913043,76.11125
2015-05-26,8.99,7.524166666666667,60.63041666666667
2015-05-27,10.37,7.40625,86.41333333333334
2015-05-28,16.74,14.459047619047618,79.78583333333333
2015-05-29,18.53,15.162083333333333,92.65708333333333
2015-05-30,8.71,5.50875,80.68916666666667
2015-05-31,8.44,5.69,69.97083333333333
2015-06-01,14.25,11.941666666666668,68.44083333333333
2015-06-02,11.339999999999998,11.422083333333333,74.26208333333334
2015-06-03,14.800000000000002,14.199565217391307,76.21916666666667
2015-06-04,15.08,12.160833333333334,89.91791666666667
2015-06-05,22.679999999999996,17.255,102.87083333333334
2015-06-06,14.25,8.91304347826087,86.16875
2015-06-07,11.07,7.129583333333334,97.20958333333333
2015-06-08,11.89,12.115833333333335,81.25
2015-06-09,12.17,8.466086956521739,74.18666666666667
2015-06-10,12.1,9.181363636363637,65.46958333333333
2015-06-11,14.43,12.968333333333334,75.52458333333333
2015-06-12,14.26,15.530434782608696,80.585
2015-06-13,6.63,6.391249999999999,97.47166666666668
2015-06-14,7.150000000000001,5.55125,72.94333333333334
2015-06-15,6.29,11.34,65.99291666666666
2015-06-16,8.84,8.049166666666666,82.08458333333333
2015-06-17,11.78,8.108749999999999,102.42291666666667
2015-06-18,12.13,11.929565217391303,65.11583333333333
2015-06-19,6.07,6.522916666666667,68.93208333333332
2015-06-20,9.59,8.212916666666667,76.09
2015-06-21,8.4,7.289130434782609,63.182500000000005
2015-06-22,11.76,10.221666666666666,70.12416666666667
2015-06-23,6.69,6.984583333333333,69.19375000000001
2015-06-24,8.02,8.38304347826087,76.94166666666666
2015-06-25,13.14,14.872083333333334,81.395
2015-06-26,15.63,13.496249999999998,96.07041666666667
